revenue,vote_average,genre
16478900,5,Action
75634409,7.6,Fantasy
53898845,6.2,Action
56505065,7.4,Action
12281551,7.5,Action
13670688,6.2,Fantasy
1596687,4.7,Comedy
67308282,6.3,Romance
3021629,4.4,Comedy
476684675,7.1,Comedy
505000000,6.9,Fantasy
504050219,7.4,Animation
520000000,7.7,Action
424208848,7.6,Adventure
411348924,7,Fantasy
272742922,8.1,Crime
184925486,6.9,Fantasy
377350553,7.5,Romance
84300000,6.9,Animation
463000000,7,Romance
638641,7.7,Adventure
97529550,6.1,Comedy
13940383,5,Horror
60611975,7.7,Crime
32709423,6,Adventure
16675000,4.9,Horror
55675257,7.1,Animation
442965,6.5,Comedy
102616183,7.4,Crime
8620678,5,Romance
218626,5.1,Comedy
4939939,5.7,Comedy
65335,0,Comedy
100860818,6.2,Drama
457696359,6.7,Adventure
115267375,6.4,Fantasy
28921264,6.2,Adventure
9789900,4.8,Comedy
684351,5.2,Action
536364,7.9,Drama
16000,8.2,Drama
250200000,6.5,Animation
2500000,5.7,Science Fiction
10070000,5.5,Comedy
62949,3.3,Drama
57400547,5.3,Action
74151346,6.5,Animation
20080020,5.3,Adventure
15000000,6.7,War
24769466,6.3,Drama
3014000,5.5,Action
335062621,6.9,Action
494471524,6.1,Action
3793614,3.9,Action
2287714,7.8,Action
14048372,6.1,Action
9440272,8,Drama
17300889,4.7,Adventure
113309743,4.4,Drama
58620973,5.9,Comedy
1814290,6.1,Drama
16491080,7.8,Drama
816969268,6.7,Action
18626419,5.7,Drama
100138851,6.8,Drama
102825796,5.7,Comedy
25023434,6.7,Comedy
242295562,5.6,Action
128769345,5.4,Fantasy
65352,7.2,Drama
159212469,5.8,Action
29359216,6.7,Horror
13269963,6.9,Drama
152036382,6.2,Drama
9482579,5.7,Comedy
152266007,7,Crime
665450,6.2,Drama
17193231,5.2,Action
4619014,5,Fantasy
116400000,6.5,Comedy
309492681,6.4,Action
21302121,5.4,Comedy
258263,6.3,Action
60209334,5.3,Action
33459416,6.9,Comedy
22231658,6.7,Drama
17917287,5.2,Action
5600000,5,Horror
12643776,6.8,Comedy
42277365,5.6,Action
3011195,6.6,Drama
53854588,5.9,Comedy
300000,6,Drama
245066411,8.5,Drama
20483423,6.7,Action
431326,6.3,Drama
7011317,6.9,Crime
33956608,5.8,Horror
49627779,4.6,Fantasy
22611954,5.4,Action
15116634,5,Horror
7200000,7.9,Comedy
4500000,6.9,Drama
9500000,7.6,Comedy
28000000,8,Mystery
36764313,8.2,Drama
4500000,7.7,Comedy
13275000,7.8,Mystery
25000000,8.1,Comedy
25000000,8,Comedy
13474588,7.7,Comedy
10462500,7.9,Drama
1000000,7.8,Mystery
72070731,7.4,Drama
10000000,7.4,Comedy
12000000,7.8,Comedy
33754967,7.4,Adventure
400176459,7.7,Drama
5000000,8.2,Drama
23217674,8,Mystery
68700000,7.9,Science Fiction
63463,8,Drama
2270000,6.4,Comedy
6000000,7.7,Drama
24464742,7.8,Thriller
7000000,7.3,Drama
8750000,7.1,Crime
2279000,7.3,Comedy
3981000,7.6,Action
2000000,7.6,Drama
3202000,7.4,Comedy
35000000,7.5,Action
1423000,7.4,Comedy
42000000,6.5,Adventure
9644124,8,Drama
9600000,7.9,Comedy
30000000,7.5,Horror
10750000,7.4,Adventure
17570324,7.6,Drama
3028094,5,Drama
294064,4.8,Drama
51702483,5.3,Action
16900000,6.8,Drama
8538318,4.9,Drama
47267001,6.2,Action
41590886,6.9,Drama
49620,6.2,Comedy
17380126,5.7,Drama
22955097,5.3,Action
22540359,5.9,Crime
20000000,6.5,Adventure
28200000,6.9,Adventure
154864401,6.8,Comedy
50236831,5.7,Fantasy
263591415,6.8,Family
22182353,6.9,Animation
390493908,6.6,Adventure
102272727,7.4,Comedy
1600000,6.8,Animation
17900000,6.8,Adventure
572000000,7,Animation
29800000,7,Adventure
286214286,7.4,Drama
140767956,7.5,Action
32101000,5.4,Horror
13417292,7.1,Drama
34585416,6.8,Comedy
4137645,5.1,Drama
1985001,5.3,Drama
1500000,7.3,Comedy
89456761,6.4,Crime
75000000,6.4,Adventure
5731103,7,Drama
2154540,4,Action
405000,6.6,Drama
147298761,6.7,Drama
4505922,6.8,Comedy
165615285,7.3,Crime
4000000,7.4,Family
18344729,7,Comedy
11833696,6.7,Comedy
62493712,7.1,Comedy
20045115,7.7,Comedy
28215453,6.9,Comedy
25333333,7.2,Adventure
50700000,7.6,Crime
3000000,7.9,Crime
213954274,7.1,Drama
14661007,8.1,Crime
138530565,7.5,Drama
30218387,6.4,Comedy
352927224,6.5,Thriller
34416893,6.7,Drama
62548947,6.9,Romance
10725228,7.5,Crime
30036000,7.4,Drama
792965326,7.3,Science Fiction
157920733,5.9,Adventure
356830601,6.7,Action
8000000,7.6,Drama
1227324,7.3,Crime
20300385,6.8,Drama
19255967,7.3,Drama
41833347,6.7,Mystery
13878334,5.9,Comedy
90000098,7.1,Adventure
21378361,6.4,Horror
50244700,6.9,Science Fiction
17985893,6.4,Drama
5028948,7.8,Adventure
127251,6.8,Romance
2035470,0,Documentary
2666118,7.3,Documentary
1100000,5.7,Horror
269823,6,Documentary
11990401,8.2,Drama
1794187,7.4,Comedy
1999955,7.3,Drama
13200170,6.9,Romance
13446769,6.5,Crime
231976425,7,Drama
4532791,7.4,Comedy
14743391,7.5,Drama
33946224,6.2,Comedy
3779620,8.2,Documentary
108981275,8.3,Drama
41590893,6.7,Comedy
538400000,8.2,Adventure
30857814,7.6,Adventure
389925971,7.7,Adventure
183316455,7.7,Horror
6000000,8.1,Western
1000000,8.2,Drama
69995385,7.8,Adventure
26589000,8,Science Fiction
13129846,7.9,Crime
89460381,8,Drama
5321508,8.1,Western
572700000,7.9,Adventure
3200000,7.5,Drama
596349,7.9,Thriller
46836394,8.2,Drama
104931801,7.9,Horror
4069653,7.9,Action
32000000,8.3,Drama
115229890,7.5,Music
47542841,8.3,Drama
46357676,7.9,Drama
51973029,7.8,Drama
23000000,7.7,Drama
38251425,7.8,Comedy
21500000,7.4,Drama
85000000,7.9,Action
159616327,7.9,Comedy
78371200,7.4,Action
242623,7.4,Horror
26828365,7.4,War
39946780,7.8,Comedy
5080409,7.5,Drama
235860116,8.1,Drama
104945305,7.6,Drama
2247465,7.6,Drama
5000000,7,Action
27200000,7.7,Drama
30000000,7.9,Crime
4307000,7.9,Action
10297601,6.8,Comedy
44017374,8.1,Horror
52287414,7.8,Crime
5923044,7.5,Horror
11744471,7.8,Adventure
50000000,7.8,Drama
70906973,7.4,Romance
159157447,7.7,Western
96105910,7.7,Mystery
11541758,7,Music
381109762,8,Adventure
119418501,7.6,Drama
89800000,7.3,Drama
553171,7.8,Science Fiction
5900000,6.8,Adventure
16217773,7.7,Crime
86273333,7.7,Comedy
2015810,7.5,Comedy
11000000,8.1,Comedy
83320000,7.2,Animation
8000000,7.6,Western
1108462,7.3,Thriller
146900000,7.5,Action
4736202,7.6,Comedy
1723872,7.7,Documentary
18553948,6.9,Drama
474171806,7.6,Adventure
30177511,7.7,Comedy
77737889,7.4,Drama
10006806,7,Comedy
20966644,6.9,Drama
13000000,6.6,Comedy
22244207,7.7,Music
34700291,7.5,War
3250000,7.2,Adventure
84431625,7.1,Drama
102308889,7.4,History
2181987,7.7,Drama
92823546,7.3,Comedy
159773545,6.2,Science Fiction
31973249,7.2,Horror
6333135,4,Horror
12534817,5.9,Horror
86432000,6.2,Drama
18753438,6.2,Crime
11403529,7.3,Horror
215862692,7.1,Romance
25792310,6.2,Drama
182300000,7,Crime
33800000,7,Horror
25504513,7.2,Horror
60922980,7.2,Horror
3803298,7.2,Drama
1179002,6.2,Action
150000000,7,Science Fiction
24444121,7.4,Drama
129832389,5.5,Family
48093211,5.4,Fantasy
2503829,7.4,Comedy
320689294,5.6,Comedy
240031094,6.6,Action
139000000,6.2,Science Fiction
96900000,6.7,Science Fiction
70200000,5.6,Science Fiction
96800000,7.3,Action
87000000,6.4,Science Fiction
133000000,6.9,Science Fiction
280000000,6.6,Action
44726644,6.6,Crime
181813770,7.2,Romance
15171476,4.9,Comedy
46044400,5.6,Action
156563139,6.1,Action
470654000,7.5,Horror
187884007,5.9,Horror
87987055,4.2,Thriller
101371017,6.1,Comedy
153155,6.8,Drama
273552592,6.7,Comedy
29180280,7.2,Comedy
